Приоритет;Направление (пункты клиента);Что это;Материалы;Есть на сайте;Текущая страница;Предлагаемая страница;Главные запросы (Ahrefs RU, мес.);Объём группы, Ahrefs RU (Google);Комментарий
P1;29. Лазерная резка;Раскрой листа и трубы по чертежу на лазере;Нержавейка, чёрная сталь, цветные;Частично;/uslugi/perforaciya-listov/ (лазер только как перфорация);/uslugi/lazernaya-rezka/;лазерная резка металла 1000, лазерная резка 600, лазерная резка нержавейки 500, лазерная резка нержавеющей стали 300, резка нержавейки лазером 200 (Wordstat точная 22), лазерная резка металла нижний новгород 50;2690;Самый большой спрос. На старом сайте были /laser/ и /lasertrub/ — сейчас 301 на /uslugi/, перенаправить на новую страницу
P1;10. Ан.Окс.бцв (ч, нхр, нв) — анодирование;Анодное оксидирование алюминия: бесцветное, чёрное, с наполнением в хромпике/воде;Алюминиевые сплавы;Нет;—;/uslugi/galvanicheskie-pokrytiya/anodirovanie/;анодирование 900, анодирование алюминия 600, анодное оксидирование 80, анодирование алюминия цена 70, цветное анодирование алюминия 30;1680;Лидер среди покрытий. Твёрдое (11), эматаль (13), хромовое (14) и хим. оксидирование алюминия (15) — разделами на этой же странице
P1;1. Цинкование (бцв, хр, черное; П.бцв / П.хр / П.ч);Гальваническое цинкование с пассивацией бесцветной, хроматной (радужной), чёрной;Углеродистые и легированные стали;Нет;—;/uslugi/galvanicheskie-pokrytiya/cinkovanie/;цинкование 400, цинкование металла 300, гальваническое цинкование 150, цинкование деталей 50, черное цинкование 30, цинкование с хроматированием 20;1010;Часть запросов про горячее цинкование (не гальваника) — в тексте явно развести
P1;8. Хим. пас (травление) + 25. Пассивация;Травление и пассивация нержавеющей стали, в т.ч. сварных швов;Нержавеющие стали;Нет (только инфо в блоге);/blog/chto-takoe-nerzhaveyushchaya-stal/ — упоминание пассивной плёнки;/uslugi/travlenie-i-passivaciya/;пассивация 300, пассивация металла 150, пассивация нержавейки 150, травление металла 150, пассивация нержавеющей стали 80, травление нержавеющей стали 40;900;Самое профильное для сайта о нержавейке — P1 даже при среднем спросе
P1;30. Гидроабразивная резка;Холодная резка водой с абразивом, толстый лист, без термовлияния;Любые металлы, стекло, камень;Частично;/uslugi/perforaciya-listov/ (упомянута в FAQ);/uslugi/gidroabrazivnaya-rezka/;гидроабразивная резка 350, гидроабразивная резка металла 300, гидрорезка 200, гидроабразивная резка нижний новгород 20;870;На старом сайте был /gidroabraziv/ — сейчас 301 на /uslugi/, перенаправить на новую страницу
P1;Хаб «Гальванические покрытия»;Общая страница-каталог всех покрытий со ссылками на подстраницы;—;Нет;—;/uslugi/galvanicheskie-pokrytiya/;гальваника 2500 (общий, много нецелевого), гальванические покрытия 150, гальваническое покрытие металла 90, нанесение гальванических покрытий 80, услуги гальваники 40;380 (+2500 «гальваника»);Нужен как структура: сюда же строкой свинцевание (26) и таблица покрытий по ГОСТ 9.306
P1;18. Хромирование твёрдое;Износостойкое гальваническое хромирование по чертежам;Стали (в т.ч. нерж.), медные сплавы;Нет;—;/uslugi/galvanicheskie-pokrytiya/hromirovanie/;хромирование 250, хромирование деталей 250, гальваническое хромирование 80, твердое хромирование 20;600;«хромирование штоков» в Google 0 — проверить в Wordstat, это типовой B2B-запрос
P1;4. Гальваническое никелирование (блестящее);Декоративно-защитное никелевое покрытие;Стали, медные, алюминиевые, титановые сплавы;Нет;—;/uslugi/galvanicheskie-pokrytiya/nikelirovanie/;никелирование 350, гальваническое никелирование 60, никелирование металла 50, никелирование деталей 50;510;Химическое никелирование (5) — разделом или отдельной страницей после проверки Wordstat
P1;6. Электрохимическое полирование (нерж.);ЭХП нержавейки — пищевые и фарм. линии;Нержавеющие стали;Частично;/uslugi/polirovka/ (упоминание в FAQ и цене);/uslugi/elektrohimicheskaya-polirovka/;электрополировка 90, электрохимическая полировка 80, электрохимическая полировка нержавейки 30, электрополировка нержавеющей стали 30;240;Спрос средний, но профильно для нержавейки и уже упоминается. Электроплазменная полировка (7) — разделом здесь
P2;9. Хим. Окс. прм (оксидирование с промасливанием);Химическое оксидирование (воронение) стали с промасливанием;Углеродистые и легированные стали;Нет;—;/uslugi/galvanicheskie-pokrytiya/oksidirovanie-stali/;воронение металла 350, оксидирование 250, оксидирование стали 150, химическое оксидирование 100, химическое оксидирование стали 50;900;Объём большой, но много бытовых запросов про воронение своими руками — поэтому P2
